Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Cameroon,2008,724.9004,527.0159667,69.0,9.0,,,,,Other Milds,79.1296,CM,7.369722,12.354722,31620.958002000003,4140.0,43494.024,0.791296
Cameroon,2008,724.9004,527.0159667,69.0,9.0,,,,,Robustas,52.5448,CM,7.369722,12.354722,31620.958002000003,4140.0,43494.024,0.525448
Central African Republic,2008,59.616,32.633,5.0,8.333,,,,,Robustas,45.6902,CF,6.611111,20.939444,1957.9800000000002,300.0,3576.96,0.456902
Colombia,2008,8664.2903,11085.1702037,1290.5,1354.25,,,,,Colombian Milds,114.2209,CO,4.570868,-74.297333,665110.212222,77430.0,519857.41800000006,1.142209
Costa Rica,2008,1499.918,1440.082759,267.859,120.0,,,,,Other Milds,106.1749,CR,9.748917,-83.753428,86404.96553999999,16071.539999999999,89995.07999999999,1.0617489999999998
Côte d'Ivoire,2008,2526.3263,1490.2354749,317.0,584.231,,,,,Robustas,51.8569,CI,7.539989,-5.54708,89414.128494,19020.0,151579.578,0.5185690000000001
Democratic Republic of Congo,2008,421.9583,203.2036167,200.0,0.0,,,,,Other Milds,,,,,12192.217002,12000.0,25317.498,
Democratic Republic of Congo,2008,421.9583,203.2036167,200.0,0.0,,,,,Robustas,,,,,12192.217002,12000.0,25317.498,
El Salvador,2008,1450.2264,1438.2105592,244.3,15.2,,,,,Other Milds,86.0511,SV,13.794185,-88.89653,86292.633552,14658.0,87013.584,0.860511
Ethiopia,2008,4948.9869,2851.92097,3048.0,1200.0,,,,,Brazilan Naturals,71.7101,ET,9.145,40.489673,171115.2582,182880.0,296939.214,0.717101
Gabon,2008,2.067,0.421,0.275,0.0,,,,,Robustas,,GA,-0.803689,11.609444,25.259999999999998,16.5,124.02000000000001,
Ghana,2008,26.4006,36.0898333,2.0,0.0,,,,,Robustas,,GH,7.946527000000001,-1.0231940000000002,2165.389998,120.0,1584.036,
Guatemala,2008,3784.9658,3777.5902024,335.0,8.0,,,,,Other Milds,111.0286,GT,15.783471,-90.230759,226655.412144,20100.0,227097.948,1.1102859999999999
Guinea,2008,504.7819,208.1745163,50.0,1.0,,,,,Robustas,,GN,9.945587,-9.696645,12490.470978,3000.0,30286.914,
Honduras,2008,3449.9872,3259.4549512,268.333,98.14,,,,,Other Milds,90.5567,HN,15.199998999999998,-86.241905,195567.297072,16099.980000000001,206999.232,0.905567
India,2008,4071.666,3376.6686651,1275.0,1553.0,,,,,Other Milds,121.6958,IN,20.593684,78.96288,202600.119906,76500.0,244299.96000000002,1.216958
India,2008,4071.666,3376.6686651,1275.0,1553.0,,,,,Robustas,96.1168,IN,20.593684,78.96288,202600.119906,76500.0,244299.96000000002,0.961168
Jamaica,2008,31.8915,20.7753657,9.0,7.0,,,,,Other Milds,348.4808,JM,18.109581,-77.297508,1246.5219419999999,540.0,1913.49,3.4848079999999997
Kenya,2008,541.075,608.429,50.0,75.0,,,,,Colombian Milds,,KE,-0.023559,37.906193,36505.74,3000.0,32464.500000000004,
Liberia,2008,12.4117,1.73,5.0,0.0,,,,,Robustas,,LR,6.4280550000000005,-9.429499,103.8,300.0,744.702,
Mexico,2008,4650.6492,2448.0008062,2200.0,120.0,,,,,Other Milds,106.0489,MX,23.634501,-102.552784,146880.04837200002,132000.0,279038.952,1.060489
Nicaragua,2008,1444.7342,1625.1105737,194.147,204.411,,,,,Other Milds,71.0228,NI,12.865416,-85.207229,97506.634422,11648.82,86684.05200000001,0.7102280000000001
Nigeria,2008,50.0048,1.8876655,40.0,0.0,,,,,Robustas,,NG,9.081999,8.675277000000001,113.25993,2400.0,3000.288,
Panama,2008,149.1609,113.9523965,67.0,5.0,,,,,Other Milds,,PA,8.537981,-80.782127,6837.14379,4020.0,8949.654,
Sierra Leone,2008,86.2856,25.7117922,5.0,0.0,,,,,Robustas,,SL,8.460555000000001,-11.779889,1542.7075320000001,300.0,5177.136,
Sri Lanka,2008,30.8644,1.700505,30.0,0.0,,,,,Other Milds,,LK,7.873054,80.77179699999999,102.0303,1800.0,1851.864,
Sri Lanka,2008,30.8644,1.700505,30.0,0.0,,,,,Robustas,,LK,7.873054,80.77179699999999,102.0303,1800.0,1851.864,
